WAHLBEZIRK;BRIEFWAHLBEZIRK;WAHLTERMIN;WAHLART;BEREICH;WAHLLOKAL;BWK_NR;BWK_NAME;STADTBEZIRK_NR;STADTBEZIRK_NAME;STADTTEILE_NRN;STADTTEILE_NAMEN;A - Wahlberechtigte insgesamt;A1 - Wahlberechtigte ohne Sperrvermerk;A2 - Wahlberechtigte mit Sperrvermerk;A3 - Wahlberechtigte nach § 25 (2) BWO;B-Wähler;B1 - Darunter mit Wahlschein;E - Ungültige Stimmen;F - Gültige Stimmen;Wähler-U;Wähler-B;CDU;SPD;FDP;GRÜNE;DIE LINKE;PIRATEN;NPD;REP;Tierschutzpartei;ÖDP;PBC;Volksabstimmung;MLPD;BüSo;AfD;BIG;pro Deutschland;FREIE WÄHLER;PARTEI DER VERNUNFT;RENTNER
001-01;001-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;VWA-Haus;258;Stuttgart I;1;Mitte;101, 107, 108;Oberer Schlossgarten, Kernerviertel, Diemershalde;963;667;296;0;485;8;2;483;485;0;156;98;37;95;59;14;1;0;2;1;0;1;0;0;15;0;0;4;0;0
001-02;001-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Inlingua Sprachcenter;258;Stuttgart I;1;Mitte;102;Rathaus;1173;936;236;1;485;6;4;481;485;0;135;115;26;79;56;17;7;1;0;2;0;2;2;0;33;4;0;1;0;1
001-03;001-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Stadtteilhaus Mitte;258;Stuttgart I;1;Mitte;110;Heusteigviertel;1200;861;339;0;624;9;2;622;624;0;202;138;43;129;48;34;2;0;5;0;1;0;0;1;15;0;0;3;0;1
001-04;001-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Max-Eyth-Schule;258;Stuttgart I;1;Mitte;102, 103;Rathaus, Neue Vorstadt;1496;1051;443;2;665;10;7;658;665;0;244;143;43;103;56;33;0;1;1;4;1;0;0;0;23;1;0;1;2;2
001-05;001-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Mensa der Universität;258;Stuttgart I;1;Mitte;104, 105, 106;Universität, Europaviertel, Hauptbahnhof;757;531;226;0;357;1;1;356;357;0;142;85;40;32;19;22;0;0;1;1;1;1;0;0;12;0;0;0;0;0
001-06;001-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;IN VIA Hildegardisheim;258;Stuttgart I;1;Mitte;109, 110;Dobel, Heusteigviertel;1099;778;320;1;501;2;6;495;501;0;159;112;34;94;52;16;3;1;1;1;0;0;0;0;21;0;0;1;0;0
001-07;001-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Technische Oberschule;258;Stuttgart I;1;Mitte;109;Dobel;1445;1032;413;0;731;1;7;724;731;0;214;145;43;174;74;39;0;0;5;0;0;2;0;0;24;1;0;2;1;0
001-08;001-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Ev. Friedens-Gemeindehaus;258;Stuttgart I;1;Mitte;107;Kernerviertel;885;662;222;1;418;8;6;412;418;0;106;103;23;67;52;31;3;0;5;1;1;1;1;0;12;2;0;1;1;2
001-09;001-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Ev. Friedens-Gemeindehaus;258;Stuttgart I;1;Mitte;107;Kernerviertel;1377;991;386;0;717;2;4;713;717;0;193;177;36;158;83;18;3;1;1;4;0;0;4;0;34;1;0;0;0;0
001-10;001-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Domsingschule Stuttgart;258;Stuttgart I;1;Mitte;107;Kernerviertel;1006;695;311;0;504;6;5;499;504;0;129;111;36;104;67;14;0;0;4;5;0;0;1;0;26;0;1;1;0;0
001-11;001-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;VWA-Haus;258;Stuttgart I;1;Mitte;108;Diemershalde;1103;720;382;1;473;2;4;469;473;0;140;123;39;99;34;13;1;0;0;1;1;0;0;0;15;0;0;3;0;0
001-12;001-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Technische Oberschule;258;Stuttgart I;1;Mitte;109, 110;Dobel, Heusteigviertel;1267;884;383;0;596;4;5;591;596;0;194;132;41;109;64;16;1;0;5;2;1;3;0;1;21;0;0;1;0;0
001-91;001-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;1;Mitte;-;-;0;0;0;0;961;961;3;958;0;961;353;178;91;189;57;31;1;1;7;2;1;1;1;2;35;1;0;1;2;4
001-92;001-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;1;Mitte;-;-;0;0;0;0;1063;1063;7;1056;0;1063;369;172;90;259;77;32;3;0;4;1;2;1;1;1;28;1;3;10;0;2
001-93;001-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;1;Mitte;-;-;0;0;0;0;928;928;4;924;0;928;296;194;86;214;54;25;4;1;5;1;0;2;1;0;31;0;0;7;0;3
001-94;001-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;1;Mitte;-;-;0;0;0;0;781;781;5;776;0;781;287;157;49;156;54;33;4;1;7;2;1;1;1;0;19;0;0;3;1;0
002-01;002-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Pragschule;258;Stuttgart I;2;Nord;130, 131;Mönchhalde, Heilbronner Straße;931;735;195;1;413;5;4;409;413;0;141;83;19;72;48;14;1;0;2;1;0;1;1;1;22;0;0;2;1;0
002-02;002-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Seniorenzentrum;258;Stuttgart I;2;Nord;121, 131;Relenberg, Heilbronner Straße;1313;1000;312;1;626;6;1;625;626;0;211;129;46;104;66;28;1;1;5;2;0;0;0;0;27;0;1;2;1;1
002-03;002-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Ev. Birkenhof-Kindergarten;258;Stuttgart I;2;Nord;121, 130;Relenberg, Mönchhalde;1270;824;446;0;675;11;3;672;675;0;273;135;60;100;39;17;1;0;4;1;0;0;0;0;41;0;0;0;0;1
002-04;002-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Eberhard-Ludwigs-Gymnasium;258;Stuttgart I;2;Nord;121;Relenberg;1263;886;377;0;667;8;2;665;667;0;247;131;54;121;36;26;0;1;4;3;0;0;0;1;40;0;0;1;0;0
002-05;002-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Hölderlin-Gymnasium;258;Stuttgart I;2;Nord;121;Relenberg;1343;977;366;0;574;4;6;568;574;0;174;122;39;99;67;17;0;0;4;2;1;0;1;1;37;0;0;2;0;2
002-06;002-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Schule im sonnigen Winkel;258;Stuttgart I;2;Nord;122;Lenzhalde;838;537;301;0;424;4;1;423;424;0;204;56;66;53;18;6;1;0;1;0;0;0;0;0;15;0;0;1;1;1
002-07;002-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Eberhard-Ludwigs-Gymnasium;258;Stuttgart I;2;Nord;122;Lenzhalde;1094;641;453;0;513;4;1;512;513;0;203;95;67;87;24;6;0;1;4;0;0;0;0;0;24;0;0;0;0;1
002-08;002-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Mühlbachhofschule;258;Stuttgart I;2;Nord;123, 130;Am Bismarckturm, Mönchhalde;827;484;343;0;424;7;2;422;424;0;185;70;63;57;15;5;0;3;0;0;0;0;0;0;22;1;0;1;0;0
002-09;002-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Haus auf dem Killesberg;258;Stuttgart I;2;Nord;124;Killesberg;1214;748;465;1;636;5;1;635;636;0;281;97;94;91;26;7;0;0;7;4;0;0;0;0;27;0;1;0;0;0
002-10;002-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Augustinum Killesberg;258;Stuttgart I;2;Nord;125, 130;Weißenhof, Mönchhalde;1174;821;353;0;713;3;5;708;713;0;300;132;75;106;50;9;0;0;2;2;2;0;0;0;28;0;0;1;0;1
002-11;002-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;VHS-Ökostation Wartberg;258;Stuttgart I;2;Nord;125;Weißenhof;1246;865;381;0;721;6;8;713;721;0;243;177;54;137;45;18;5;0;6;2;0;0;0;1;23;0;0;1;0;1
002-12;002-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Rosensteinschule;258;Stuttgart I;2;Nord;126, 128, 129;Nordbahnhof, Am Rosensteinpark, Auf der Prag;1448;1117;331;0;695;6;11;684;695;0;203;195;23;93;73;34;5;2;5;1;0;1;1;1;34;5;0;4;3;1
002-13;002-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Ev. Martins-Gemeindehaus;258;Stuttgart I;2;Nord;126, 128, 129;Nordbahnhof, Am Rosensteinpark, Auf der Prag;1577;1206;370;1;787;11;16;771;787;0;245;203;36;115;81;39;4;3;3;4;0;2;0;0;33;1;0;2;0;0
002-14;002-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Pragschule;258;Stuttgart I;2;Nord;127;Am Pragfriedhof;806;574;232;0;319;2;4;315;319;0;100;81;12;45;38;12;1;0;3;0;0;1;0;0;21;0;0;0;0;1
002-91;002-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;2;Nord;-;-;0;0;0;0;1328;1328;15;1313;0;1328;473;249;128;253;87;40;4;4;7;6;1;5;2;1;33;3;2;5;2;8
002-92;002-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;2;Nord;-;-;0;0;0;0;1103;1103;6;1097;0;1103;452;198;148;180;41;25;1;2;8;3;1;2;0;2;26;0;0;4;1;3
002-93;002-93;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;2;Nord;-;-;0;0;0;0;1042;1042;6;1036;0;1042;475;117;203;139;36;8;1;2;5;1;0;2;0;0;43;0;0;3;0;1
002-94;002-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;B;Briefwahlbezirk;258;Stuttgart I;2;Nord;-;-;0;0;0;0;1141;1141;4;1137;0;1141;462;176;140;213;69;15;0;2;6;9;1;1;0;0;39;0;0;3;0;1
003-01;003-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Haus Morgenstern e. V.;259;Stuttgart II;3;Ost;141;Gänsheide;1123;745;378;0;571;6;10;561;571;0;239;82;84;84;12;8;2;1;2;1;0;1;0;0;41;1;0;3;0;0
003-02;003-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Ev. Heidehofgymnasium;259;Stuttgart II;3;Ost;141;Gänsheide;1072;703;369;0;571;10;2;569;571;0;208;102;91;97;32;8;0;0;1;5;0;0;1;0;20;0;0;2;2;0
003-03;003-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Wagenburg-Gymnasium;259;Stuttgart II;3;Ost;141, 142;Gänsheide, Uhlandshöhe;1121;807;314;0;605;0;6;599;605;0;165;138;46;127;80;19;0;0;2;1;0;1;0;0;19;0;0;0;1;0
003-04;003-91;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Ameisenbergschule;259;Stuttgart II;3;Ost;142;Uhlandshöhe;1019;738;280;1;581;0;8;573;581;0;159;105;39;151;65;19;2;0;1;2;0;0;0;1;24;3;0;2;0;0
003-05;003-94;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Therapeuticum;259;Stuttgart II;3;Ost;145;Ostheim;1147;857;290;0;562;3;3;559;562;0;169;111;34;129;57;17;3;2;6;4;0;1;3;0;20;0;0;1;0;2
003-06;003-92;20.09.2013;Bundestagswahl - Zweitstimmenergebnisse;U;Grund- und Werkrealschule;259;Stuttgart II;3;Ost;147;Gablenberg;1371;1023;348;0;675;9;5;670;675;0;206;156;37;132;76;23;3;1;2;1;0;0;3;0;26;0;0;3;0;1
